species,country,harvest_year,aroma,cupper_points,sweetness,clean_cup,uniformity,balance,body,acidity,aftertaste,flavor,total_cup_points
Arabica,Ethiopia,2017,7.83,8.0,10.0,10.0,10.0,8.0,7.92,8.17,7.83,8.0,85.75
Arabica,Peru,2013,8.0,8.0,10.0,10.0,10.0,7.75,7.92,8.08,8.0,8.0,85.75
Arabica,Papua New Guinea,2012,8.33,7.92,10.0,9.33,9.33,8.25,8.0,8.33,7.83,8.42,85.75
Arabica,El Salvador,2013,7.92,8.0,10.0,10.0,10.0,7.83,7.75,7.92,8.0,8.17,85.58
Arabica,El Salvador,2012,7.83,7.92,10.0,10.0,10.0,8.17,7.92,7.75,8.0,8.0,85.58
Arabica,United States (Hawaii),2012,7.83,8.0,10.0,10.0,10.0,8.0,8.08,7.75,7.92,8.0,85.58
Arabica,Panama,2014,8.0,7.83,10.0,10.0,10.0,8.58,7.67,7.83,7.83,7.75,85.5
Arabica,Kenya,2014,7.92,8.0,10.0,10.0,10.0,7.92,7.83,8.08,7.83,7.92,85.5
Arabica,Ethiopia,2015,7.83,8.0,10.0,10.0,10.0,8.08,7.83,7.92,7.83,8.0,85.5
Arabica,Uganda,2013,8.33,8.08,10.0,10.0,10.0,7.92,7.67,7.92,7.67,7.92,85.5
Arabica,Guatemala,2013,8.0,7.83,10.0,10.0,10.0,8.0,7.83,8.33,7.67,7.83,85.5
Arabica,Ethiopia,2015,7.75,8.08,10.0,10.0,10.0,7.83,7.92,8.17,7.83,7.83,85.42
Arabica,Uganda,2013,8.08,8.0,10.0,10.0,10.0,7.83,8.0,7.67,7.83,8.0,85.42
Arabica,United States (Hawaii),2012,7.92,8.25,10.0,10.0,10.0,7.92,7.75,7.92,7.75,7.92,85.42
Arabica,Brazil,2011,8.0,8.0,10.0,10.0,10.0,8.0,7.75,7.67,8.0,8.0,85.42
Arabica,El Salvador,2010,8.08,7.92,10.0,10.0,10.0,7.83,7.83,8.08,7.83,7.83,85.42
Arabica,China,2015,8.0,7.92,10.0,10.0,10.0,7.75,7.83,7.83,8.0,8.0,85.33
Arabica,Guatemala,2014,7.83,7.83,10.0,10.0,10.0,8.58,7.83,7.67,7.83,7.75,85.33
Arabica,Costa Rica,2014,7.92,8.0,9.33,10.0,10.0,8.08,8.0,7.92,8.0,8.08,85.33
Arabica,Costa Rica,2014,8.0,7.92,10.0,10.0,10.0,8.5,8.08,7.67,7.58,7.58,85.33
Arabica,Kenya,2012,7.83,7.92,10.0,10.0,10.0,7.75,7.92,8.08,7.75,8.08,85.33
Arabica,Kenya,2012,8.0,7.83,10.0,10.0,10.0,7.75,7.83,8.08,7.92,7.92,85.33
Arabica,Ethiopia,2010,7.83,8.08,10.0,10.0,10.0,7.83,7.75,8.08,7.92,7.83,85.33
Arabica,Ethiopia,2010,7.92,8.0,10.0,10.0,10.0,7.75,7.75,8.33,7.75,7.83,85.33
Arabica,Guatemala,2016,8.0,7.83,10.0,10.0,10.0,7.83,7.92,8.0,7.75,7.92,85.25
Arabica,Colombia,2015,8.17,7.92,10.0,10.0,10.0,7.83,7.58,8.0,7.83,7.92,85.25
Arabica,Colombia,2014,7.58,7.92,10.0,10.0,10.0,7.92,8.0,7.83,7.92,8.08,85.25
Arabica,Indonesia,2012,7.75,8.0,10.0,10.0,10.0,7.83,8.08,8.0,7.67,7.83,85.17
Arabica,Guatemala,2012,8.25,7.92,10.0,10.0,10.0,7.67,7.75,7.92,7.67,8.0,85.17
Arabica,Ethiopia,2016,7.75,7.83,10.0,10.0,10.0,7.92,8.0,8.0,7.58,8.0,85.08
Arabica,Colombia,2015,8.17,7.67,10.0,10.0,10.0,7.75,8.0,8.08,7.58,7.83,85.08
Arabica,Ethiopia,2014,8.42,8.08,10.0,10.0,9.33,7.92,7.92,8.0,7.42,8.0,85.08
Arabica,United States (Hawaii),2014,7.58,7.92,10.0,10.0,10.0,8.17,7.83,7.92,7.83,7.83,85.08
Arabica,Colombia,2012,7.83,8.08,10.0,10.0,10.0,7.83,7.83,7.75,7.75,8.0,85.08
Arabica,United States (Hawaii),2011,8.08,8.17,10.0,9.33,9.33,8.0,8.08,8.0,7.92,8.17,85.08
Arabica,Ethiopia,2010,7.67,7.83,10.0,10.0,10.0,7.83,7.92,8.0,7.83,8.0,85.08
Arabica,Uganda,2016,8.17,8.0,10.0,10.0,10.0,7.75,7.67,7.75,7.75,7.92,85.0
Arabica,Colombia,2016,8.0,7.83,10.0,10.0,10.0,7.83,7.75,7.92,7.75,7.92,85.0
Arabica,Costa Rica,2016,7.83,7.92,10.0,10.0,10.0,7.83,7.92,7.92,7.58,8.0,85.0
Arabica,Mexico,2015,7.83,8.08,10.0,10.0,10.0,7.83,7.67,7.75,7.83,8.0,85.0
Arabica,Kenya,2015,8.17,7.83,10.0,10.0,10.0,7.83,7.67,7.75,7.92,7.83,85.0
Arabica,Kenya,2012,7.75,7.83,10.0,10.0,10.0,7.75,8.0,8.08,7.75,7.83,85.0
Arabica,Brazil,2012,8.0,8.0,10.0,10.0,10.0,7.67,7.67,7.83,7.83,8.0,85.0
Arabica,Mexico,2011,7.92,7.83,10.0,10.0,10.0,7.83,7.42,8.08,7.75,8.17,85.0
Arabica,Guatemala,2010,7.83,8.0,10.0,10.0,10.0,7.67,7.75,8.0,7.67,8.08,85.0
Arabica,Colombia,2016,7.92,7.83,10.0,10.0,10.0,7.83,7.92,7.83,7.67,7.92,84.92
Arabica,Colombia,2015,7.92,7.83,10.0,10.0,10.0,8.0,7.75,7.83,7.75,7.83,84.92
Arabica,Taiwan,2015,7.67,7.92,10.0,10.0,10.0,7.92,8.0,7.58,8.0,7.83,84.92
Arabica,Tanzania,2014,8.0,7.83,10.0,10.0,10.0,7.75,7.75,7.92,7.83,7.83,84.92
Arabica,Colombia,2012,7.75,7.92,10.0,10.0,10.0,8.0,7.75,7.75,7.83,7.92,84.92
Arabica,Mexico,2012,7.75,8.17,10.0,10.0,10.0,7.92,7.5,7.83,7.75,8.0,84.92
Arabica,Brazil,2011,8.0,7.75,10.0,10.0,10.0,7.75,8.0,7.75,7.75,7.92,84.92
Arabica,Brazil,2011,8.0,7.92,10.0,10.0,10.0,7.75,7.5,8.0,7.75,8.0,84.92
Arabica,Kenya,2010,8.0,7.58,10.0,10.0,10.0,7.75,7.92,8.17,7.83,7.67,84.92
Arabica,Taiwan,2016,7.92,8.0,10.0,10.0,10.0,7.83,7.83,7.83,7.83,7.58,84.83
Arabica,Uganda,2013,7.75,7.83,10.0,10.0,10.0,7.75,8.25,7.67,7.67,7.92,84.83
Arabica,United States (Hawaii),2012,7.67,8.08,10.0,10.0,10.0,8.0,7.83,7.75,7.75,7.75,84.83
Arabica,Ethiopia,2010,7.75,8.0,10.0,10.0,10.0,7.67,7.75,7.92,7.83,7.92,84.83
Arabica,Ethiopia,2010,7.42,7.92,10.0,10.0,10.0,7.83,7.83,8.0,7.92,7.92,84.83
Arabica,Thailand,2015,7.75,8.0,10.0,10.0,10.0,7.75,8.0,7.75,7.75,7.75,84.75
Arabica,Kenya,2014,7.92,7.92,10.0,10.0,10.0,7.83,7.75,7.92,7.58,7.83,84.75
Arabica,Honduras,2014,7.83,8.17,10.0,10.0,10.0,7.67,7.67,7.67,8.0,7.75,84.75
Arabica,El Salvador,2011,7.75,7.75,9.33,10.0,10.0,7.92,7.67,8.33,8.0,8.0,84.75
Arabica,Nicaragua,2010,7.83,8.5,10.0,10.0,10.0,7.67,7.75,7.83,7.58,7.58,84.75
Arabica,El Salvador,2016,7.83,8.0,10.0,10.0,10.0,7.67,7.83,8.0,7.5,7.83,84.67
