species,country,region,company,harvest_year,aroma,cupper_points,sweetness,clean_cup,uniformity,balance,body,acidity,aftertaste,flavor,total_cup_points
Arabica,Panama,boquete,ce specialty s.a.,2017,8,8,10,10,10,8,7.83,8.08,7.92,8,85.83
Arabica,Ethiopia,oromia,ibrahim hussien specality coffee product & exporter,2014,7.83,8,10,10,10,7.92,8,8.08,7.92,8.08,85.83
Arabica,Guatemala,acatenango,sertrasa,2012,7.83,8,10,10,10,8,7.83,8.17,8,8,85.83
Arabica,Guatemala,nuevo oriente,unicafe,2012,8,8,10,10,10,7.83,7.83,8.33,7.83,8,85.83
Arabica,Ethiopia,addis ababa,seid damtew coffee planation,2017,7.83,8,10,10,10,8,7.92,8.17,7.83,8,85.75
Arabica,Peru,cajamarca,sustainable harvest,2013,8,8,10,10,10,7.75,7.92,8.08,8,8,85.75
Arabica,Papua New Guinea,eastern highlands province,cqi,2012,8.33,7.92,10,9.33,9.33,8.25,8,8.33,7.83,8.42,85.75
Arabica,El Salvador,apaneca,atlantic specialty coffee,2013,7.92,8,10,10,10,7.83,7.75,7.92,8,8.17,85.58
Arabica,El Salvador,"ataco, apaneca - ilamatepec mountain range",lusso coffee lab,2012,7.83,7.92,10,10,10,8.17,7.92,7.75,8,8,85.58
Arabica,United States (Hawaii),kona,kona pacific farmers cooperative,2012,7.83,8,10,10,10,8,8.08,7.75,7.92,8,85.58
Arabica,Panama,boquete,essence coffee,2014,8,7.83,10,10,10,8.58,7.67,7.83,7.83,7.75,85.5
Arabica,Kenya,kirinyaga,essence coffee,2014,7.92,8,10,10,10,7.92,7.83,8.08,7.83,7.92,85.5
Arabica,Ethiopia,oromia,assefa belay coffee producer,2015,7.83,8,10,10,10,8.08,7.83,7.92,7.83,8,85.5
Arabica,Uganda,bulambuli eastern region,kyagalanyi coffee ltd,2013,8.33,8.08,10,10,10,7.92,7.67,7.92,7.67,7.92,85.5
Arabica,Guatemala,huehuetenango,exportcafe,2013,8,7.83,10,10,10,8,7.83,8.33,7.67,7.83,85.5
Arabica,Ethiopia,oromia,assefa belay coffee producer,2015,7.75,8.08,10,10,10,7.83,7.92,8.17,7.83,7.83,85.42
Arabica,Uganda,kapchorwa,great lakes coffee,2013,8.08,8,10,10,10,7.83,8,7.67,7.83,8,85.42
Arabica,United States (Hawaii),kona,kona pacific farmers cooperative,2012,7.92,8.25,10,10,10,7.92,7.75,7.92,7.75,7.92,85.42
Arabica,Brazil,south of minas,nucoffee,2011,8,8,10,10,10,8,7.75,7.67,8,8,85.42
Arabica,El Salvador,apaneca,,2010,8.08,7.92,10,10,10,7.83,7.83,8.08,7.83,7.83,85.42
Arabica,China,yunnan,yunnan coffee exchange,2015,8,7.92,10,10,10,7.75,7.83,7.83,8,8,85.33
Arabica,Guatemala,huehuetenango,essence coffee,2014,7.83,7.83,10,10,10,8.58,7.83,7.67,7.83,7.75,85.33
