species,country,region,company,harvest_year,aroma,cupper_points,sweetness,clean_cup,uniformity,balance,body,acidity,aftertaste,flavor,total_cup_points
Arabica,Guatemala,oriente,"unex guatemala, s.a.",2013,7.92,7.42,10,10,10,7.92,7.83,7.67,7.67,7.75,84.17
Arabica,El Salvador,apaneca,atlantic specialty coffee,2013,8.42,7.92,10,10,9.33,8.17,7.58,7.17,7.5,8.08,84.17
Arabica,Colombia,huila,exportadora de cafe condor s.a,2012,7.75,7.58,10,10,10,7.75,7.83,7.75,7.75,7.75,84.17
Arabica,Guatemala,guatemala,unicafe,2012,7.83,7.67,10,10,10,7.83,7.83,8,7.5,7.5,84.17
Arabica,Uganda,mt. rwenzori,great lakes coffee,2012,7.83,7.67,10,10,10,7.75,7.83,7.83,7.5,7.75,84.17
Arabica,Indonesia,aceh tengah,pt. royal pacific indah international,2017,7.81,7.75,10,10,10,7.75,7.63,7.75,7.56,7.88,84.13
Arabica,Colombia,huila,carcafe ltda,2017,7.83,7.5,10,10,10,8.5,7.83,7.5,7.42,7.5,84.08
Arabica,Taiwan,"nanxi dist., tainan city 臺南市楠西區",taiwan coffee laboratory,2016,7.58,7.92,10,10,10,7.83,7.75,7.67,7.67,7.67,84.08
Arabica,Guatemala,oriente,"unex guatemala, s.a.",2016,8,7.67,10,10,10,7.67,7.92,7.58,7.5,7.75,84.08
Arabica,Colombia,huila,racafe & cia s.c.a,2014,7.92,7.67,10,10,10,7.67,7.67,7.75,7.67,7.75,84.08
Arabica,Guatemala,"aldea xeucalvitz, ixil region, quiche department",lusso coffee lab,2014,7.58,7.67,10,10,10,7.67,7.75,8,7.67,7.75,84.08
Arabica,United States (Hawaii),kona,kona pacific farmers cooperative,2012,7.83,8,10,10,9.33,8.08,7.42,7.83,7.83,7.75,84.08
Arabica,Mexico,santo domingo cacalotepec,,2012,7.67,7.83,10,10,10,7.75,7.67,7.75,7.67,7.75,84.08
Arabica,Ethiopia,"ethiopia, sidamo",the specialty coffee appraisers institute of asia,2012,7.92,7.92,8.67,10,10,7.92,7.92,8,7.83,7.92,84.08
Arabica,Costa Rica,,thrive farmers,2017,7.58,7.67,10,10,10,7.75,7.83,7.75,7.67,7.75,84
Arabica,Ethiopia,sidamo,kyagalanyi coffee ltd,2017,7.83,7.92,10,10,10,7.75,7.33,7.75,7.67,7.75,84
Arabica,Honduras,comayagua,cigrah s.a de c.v,2017,7.42,7.75,10,10,10,7.58,7.75,7.92,7.75,7.83,84
Arabica,Guatemala,huehuetenango,exportcafe,2015,7.67,7.58,10,10,10,7.67,7.75,7.92,7.58,7.83,84
Arabica,Colombia,huila,olam international ltd,2015,7.67,7.83,10,10,10,7.83,7.58,7.58,7.83,7.67,84
Arabica,Guatemala,oriente,"unex guatemala, s.a.",2014,7.92,7.5,10,10,10,7.83,7.75,7.92,7.42,7.67,84
Arabica,Guatemala,oriente,"unex guatemala, s.a.",2014,7.75,7.83,10,10,10,7.67,7.58,7.83,7.5,7.83,84
Arabica,Colombia,huila,olam international ltd,2014,7.67,7.83,10,10,10,7.75,7.67,7.67,7.67,7.75,84
Arabica,Colombia,santander,ecom cca sa,2014,7.58,7.67,10,10,10,7.92,7.75,7.92,7.75,7.42,84
Arabica,Colombia,huila,racafe & cia s.c.a,2014,7.67,8.33,10,10,10,7.67,7.67,7.5,7.5,7.67,84
Arabica,Ethiopia,sidamo,lusso coffee lab,2013,7.75,7.83,10,10,10,7.92,7.67,7.58,7.5,7.75,84
Arabica,Brazil,south of minas,ipanema coffees,2013,7.58,7.92,10,10,10,7.75,8,7.25,7.67,7.83,84
Arabica,Colombia,cauca,exportadora de cafe condor s.a,2013,7.67,7.67,10,10,10,7.75,7.67,7.75,7.67,7.83,84
Arabica,Kenya,blend,ibero kenya limited,2012,7.67,7.67,10,10,10,7.67,7.92,7.75,7.5,7.83,84
Arabica,Thailand,thailand,mae fah luang foundation,2012,7.92,8.42,9.33,8.67,8.67,8.17,8.08,8.42,8.17,8.17,84
Arabica,Kenya,central kenya,taylor winch (coffee) ltd,2012,7.67,7.67,10,10,10,7.67,7.83,7.75,7.67,7.75,84
Arabica,Uganda,kasese,bukonzo joint cfs,2012,7.92,7.58,10,10,10,7.83,7.67,7.67,7.58,7.75,84
Arabica,Thailand,,,2011,7.58,8,10,10,10,7.75,7.58,7.75,7.58,7.75,84
Arabica,Brazil,south of minas,ipanema coffees,2017,7.5,8.5,10,10,10,7.5,7.58,7.5,7.58,7.75,83.92
Arabica,Mexico,veracruz,cafes tomari sa de cv,2017,7.83,7.83,10,10,10,7.5,7.42,7.92,7.58,7.83,83.92
Arabica,Thailand,chiangrai,intercof 1978 group company limited,2015,7.67,7.83,10,10,10,7.83,7.67,7.67,7.5,7.75,83.92
Arabica,Brazil,south of minas,ipanema coffees,2016,7.58,7.83,10,10,10,7.83,7.58,7.75,7.67,7.67,83.92
Arabica,Taiwan,"leye, alishan township, chiayi county 嘉義阿里山樂野村",taiwan coffee laboratory,2015,7.83,7.83,10,10,9.33,7.75,7.83,7.75,7.83,7.75,83.92
Arabica,Colombia,huila,carcafe ltda,2016,7.75,7.67,10,10,10,7.75,7.83,7.75,7.5,7.67,83.92
Arabica,Colombia,la plata,racafe & cia s.c.a,2016,7.75,7.58,10,10,10,7.92,7.75,7.83,7.5,7.58,83.92
Arabica,Taiwan,台灣,宸嶧國際,2014,7.75,7.67,10,10,10,7.67,7.75,7.75,7.58,7.75,83.92
Arabica,Colombia,huila,federacion nacional de cafeteros,2015,7.92,7.75,10,10,10,7.67,7.58,7.83,7.5,7.67,83.92
Arabica,Colombia,huila,federacion nacional de cafeteros,2014,7.83,7.67,10,10,10,7.75,7.75,7.58,7.58,7.75,83.92
Arabica,Colombia,huila,racafe & cia s.c.a,2014,7.75,7.58,10,10,10,7.67,7.83,7.83,7.67,7.58,83.92
Arabica,Taiwan,台中和平區,宸嶧國際,2014,8,7.17,10,10,10,7.33,7.67,7.92,7.92,7.92,83.92
Arabica,Colombia,santander,ecom cca sa,2014,7.67,7.5,10,10,10,7.83,7.67,7.75,7.67,7.83,83.92
Arabica,Mexico,xicotepec de juarez,agro xicotepec 2000,2012,7.67,7.67,10,10,10,7.83,7.75,7.67,7.58,7.75,83.92
Arabica,Mexico,la concordia,ecomtrading,2012,7.5,7.83,10,10,10,7.75,7.75,7.83,7.58,7.67,83.92
Arabica,Mexico,la yerbabuena,organizaciones de productores de cafe colimense sa de cv,2012,7.75,7.75,10,10,9.33,7.67,7.75,7.92,7.83,7.92,83.92
Arabica,Colombia,nariño,carcafe ltda,2017,7.92,7.75,10,10,10,7.67,7.58,7.83,7.5,7.58,83.83
Arabica,Colombia,huila,racafe & cia s.c.a,2016,7.83,7.58,10,10,10,7.75,7.75,7.75,7.5,7.67,83.83
Arabica,Costa Rica,tarrazu,"ceca,s.a.",2015,7.67,7.83,10,10,10,7.75,7.5,7.67,7.75,7.67,83.83
Arabica,Guatemala,antigua,"siembras vision, s.a.",2016,7.75,7.67,10,10,10,7.58,7.83,7.75,7.5,7.75,83.83
Arabica,Taiwan,台灣,宸嶧國際,2016,7.75,7.75,10,10,10,7.67,7.75,7.75,7.5,7.67,83.83
Arabica,Brazil,south of minas,ipanema coffees,2016,7.25,8,10,10,10,7.83,7.75,8,7.42,7.58,83.83
Arabica,Taiwan,"dongshan dist., tainan city 臺南市東山區",taiwan coffee laboratory,2014,7.67,7.83,10,10,10,7.75,7.42,7.75,7.67,7.75,83.83
Arabica,Ethiopia,oromia,yasmin coffee plantation plc,2014,7.75,7.75,10,10,10,7.67,7.58,7.67,7.67,7.75,83.83
Arabica,Brazil,south of minas,ipanema coffees,2015,7.67,8.08,9.33,10,10,8.17,7.83,7.5,7.58,7.67,83.83
Arabica,Costa Rica,central valley,coricafe s.a.,2013,7.83,7.67,10,10,10,7.83,7.75,7.83,7.5,7.42,83.83
Arabica,Guatemala,oriente,"unex guatemala, s.a.",2014,7.58,7.75,10,10,10,7.75,7.58,8,7.33,7.83,83.83
Arabica,Brazil,south of minas,ipanema coffees,2013,7.92,7.75,10,10,10,7.5,8.17,7.67,7.33,7.5,83.83
Arabica,Ecuador,"province of manabi, ecuador",sultana del cafe inc.,2013,7.5,7.67,10,10,10,7.83,7.83,7.75,7.58,7.67,83.83
Arabica,Colombia,huila,exportadora de cafe condor s.a,2013,7.67,7.92,10,10,10,7.67,7.58,7.83,7.58,7.58,83.83
Arabica,Guatemala,oriente,"unex guatemala, s.a.",2013,7.5,7.67,10,10,10,7.67,7.83,7.83,7.5,7.83,83.83
Arabica,Mexico,petatlan,,2012,7.67,7.92,10,10,10,7.5,7.67,7.42,7.67,8,83.83
Arabica,Mexico,"la concordia, chiapas",ecomtrading,2012,7.67,7.83,10,10,10,7.75,7.75,7.75,7.5,7.58,83.83
Arabica,Brazil,carmo de minas,exportadora de cafés carmo de minas ltda,2012,7.83,7.83,10,10,10,7.58,7.5,7.67,7.58,7.83,83.83
Arabica,Thailand,"doi chaang village, chiang rai, thialand",,2011,7.75,7.5,10,10,10,7.58,7.67,8,7.58,7.75,83.83
Arabica,Thailand,,,2011,7.5,7.75,10,10,10,7.83,7.75,7.58,7.58,7.83,83.83
Arabica,Ethiopia,sidamo,,2010,7.58,7.5,10,10,10,7.5,7.83,8,7.58,7.83,83.83
Arabica,Brazil,south of minas,ipanema coffees,2017,7.67,7.75,10,10,10,7.67,7.67,7.75,7.58,7.67,83.75
Arabica,Colombia,huila,carcafe ltda,2017,7.83,7.75,10,10,10,7.58,7.58,7.58,7.58,7.83,83.75
Arabica,Taiwan,"台南市東山區 (dongshan dist., tainan city)",taiwan coffee laboratory,2016,7.67,7.75,10,10,10,7.83,7.67,7.58,7.58,7.67,83.75
Arabica,Colombia,huila,racafe & cia s.c.a,2016,7.92,7.67,10,10,10,7.5,7.75,7.67,7.5,7.75,83.75
Arabica,China,yunnan,yunnan coffee exchange,2015,7.83,7.75,10,10,10,7.67,7.58,7.5,7.67,7.75,83.75
Arabica,Colombia,huila,carcafe ltda,2016,7.75,7.75,10,10,10,7.83,7.58,7.67,7.5,7.67,83.75
Arabica,Uganda,west nile,nile highlands arabica coffee farmers,2013,8,7.67,10,10,10,7.5,7.33,7.75,7.58,7.92,83.75
Arabica,United States (Puerto Rico),yauco region,"hacienda alto grande, llc.",2013,7.83,7.75,10,9.33,9.33,8.17,8,7.67,7.83,7.83,83.75
Arabica,Colombia,huila,racafe & cia s.c.a,2014,7.67,7.67,10,10,10,7.67,7.5,7.92,7.67,7.67,83.75
Arabica,Colombia,huila,olam international ltd,2014,7.67,7.5,10,10,10,8.33,8,7.42,7.42,7.42,83.75
Arabica,Colombia,huila,exportadora de cafe condor s.a,2013,7.58,7.75,10,10,10,7.67,7.67,7.67,7.75,7.67,83.75
Arabica,Colombia,huila,exportadora de cafe condor s.a,2013,7.75,7.58,10,10,10,8,7.42,7.58,7.75,7.67,83.75
Arabica,United States (Hawaii),kona,kona pacific farmers cooperative,2013,7.25,7.75,10,10,10,8.25,7.83,7.58,7.67,7.42,83.75
Arabica,Mexico,"huazalingo, hidalgo",,2012,7.83,7.83,10,10,10,7.67,7.75,7.5,7.58,7.58,83.75
Arabica,Guatemala,quetzaltenango,the coffee source inc.,2012,7.67,7.75,10,10,10,7.75,7.75,7.67,7.58,7.58,83.75
Arabica,Colombia,cauca,,2011,7.83,8.08,10,10,10,7.67,7.42,7.33,7.58,7.83,83.75
Arabica,Brazil,south of minas,ipanema coffees,2017,7.67,7.83,10,10,10,7.5,7.67,7.67,7.5,7.83,83.67
Arabica,Kenya,meru county,taylor winch (coffee) ltd,2017,8.08,7.75,10,10,10,7.67,7.25,7.58,7.67,7.67,83.67
Arabica,Honduras,comayagua,cigrah s.a de c.v,2016,7.5,7.33,10,10,10,8,8,7.67,7.67,7.5,83.67
Arabica,Nicaragua,jinotega,"comercial internacional exportadora, s.a.",2016,7.67,7.5,10,10,10,7.58,7.83,7.67,7.67,7.75,83.67
Arabica,Brazil,south of minas,ipanema coffees,2016,7.58,7.83,10,10,10,7.58,7.58,7.75,7.58,7.75,83.67
Arabica,Taiwan,"leye, alishan township, chiayi county",taiwan coffee laboratory,2015,7.5,7.75,10,10,10,7.67,7.83,7.92,7.33,7.67,83.67
Arabica,Thailand,thailand,doi tung development project,2014,7.5,7.75,10,10,10,7.58,7.67,7.83,7.58,7.75,83.67
Arabica,Colombia,huila,olam specialty coffee,2015,7.5,7.83,10,10,10,7.67,7.67,7.75,7.5,7.75,83.67
Arabica,Guatemala,huehuetenango,exportcafe,2014,8,7.5,10,10,9.33,8,8,8,7.33,7.5,83.67
Arabica,Colombia,huila supremo,exportadora de cafe condor s.a,2013,7.83,7.58,10,10,10,7.67,7.58,7.58,7.67,7.75,83.67
Arabica,Colombia,huila,racafe & cia s.c.a,2013,7.67,7.92,10,10,10,7.75,7.33,7.67,7.67,7.67,83.67
Arabica,Guatemala,oriente,"unex guatemala, s.a.",2013,7.67,7.5,10,10,10,7.75,8,7.67,7.42,7.67,83.67
Arabica,Guatemala,oriente,"unex guatemala, s.a.",2013,7.83,7.67,10,10,10,7.83,7.67,7.67,7.33,7.67,83.67
Arabica,Colombia,huila,exportadora de cafe condor s.a,2012,7.75,7.83,10,10,10,7.75,7.17,7.83,7.58,7.75,83.67
Arabica,Guatemala,oriente,the coffee source inc.,2012,8.17,8,9.33,9.33,9.33,7.75,8.08,7.67,7.83,8.17,83.67
Arabica,Guatemala,oriente,"unex guatemala, s.a.",2012,7.67,7.5,10,10,10,7.83,7.58,7.42,7.5,8.17,83.67
Arabica,Mexico,xicotepec de juarez,,2012,7.67,7.58,10,10,10,8.25,7.83,7.33,7.5,7.5,83.67
Arabica,Indonesia,east java,scai,2012,8.17,7.58,10,10,10,7.67,7.42,7.58,7.58,7.67,83.67
Arabica,Guatemala,"sacatepequez, guatemala","siembras vision, s.a.",2012,7.67,7.83,10,10,10,7.67,7.67,8,7.33,7.5,83.67
Arabica,Brazil,south of minas,ipanema coffees,2017,7.58,7.92,10,10,10,7.58,7.67,7.58,7.58,7.67,83.58
Arabica,Guatemala,huehuetenango,exportcafe,2016,7.75,7.58,10,10,10,7.58,7.58,7.83,7.5,7.75,83.58
Arabica,Colombia,huila,racafe & cia s.c.a,2016,7.75,7.67,10,10,10,7.58,7.67,7.58,7.58,7.75,83.58
Arabica,China,yunnan,yunnan coffee exchange,2015,7.67,7.75,10,10,10,7.75,7.67,7.58,7.58,7.58,83.58
Arabica,Colombia,huila,racafe & cia s.c.a,2015,7.67,7.58,10,10,10,7.58,7.75,7.67,7.58,7.75,83.58
Arabica,Mexico,"chiapas, jaltenango",exportadora café california,2014,7.75,7.75,10,10,10,7.67,7.5,7.58,7.58,7.75,83.58
Arabica,Ethiopia,yirgacheffe,essence coffee,2014,7.75,7.75,10,10,10,7.67,7.5,7.67,7.58,7.67,83.58
Arabica,Uganda,eastern,bulamburi coffee farmers association,2013,7.67,7.67,10,10,10,7.67,7.75,7.75,7.42,7.67,83.58
Arabica,Colombia,cundinamarca,ecom cca sa,2014,7.67,7.67,10,10,10,7.67,7.67,7.67,7.67,7.58,83.58
Arabica,Colombia,santander,ecom cca sa,2014,7.67,7.67,10,10,10,7.75,7.67,7.58,7.67,7.58,83.58
Arabica,Colombia,santander,ecom cca sa,2014,7.75,7.58,10,10,10,7.83,7.75,7.58,7.5,7.58,83.58
Arabica,Taiwan,taichung xinshe 台中市新社區,blossom valley宸嶧國際,2013,7.75,7.5,10,10,10,7.58,7.5,7.75,7.75,7.75,83.58
Arabica,Colombia,huila,c.i.racafe & cia s.c.a,2012,7.67,7.67,10,10,10,7.58,7.75,7.67,7.58,7.67,83.58
Arabica,Mexico,xalapa,ecomtrading,2012,7.83,7.67,10,10,10,7.58,7.67,7.58,7.58,7.67,83.58
Arabica,Colombia,cundinamarca,carcafe ltda,2012,7.67,7.75,10,10,10,7.75,7.67,7.58,7.58,7.58,83.58
Arabica,Brazil,south of minas,nucoffee,2012,7.83,7.67,10,10,10,7.58,7.5,7.75,7.5,7.75,83.58
Arabica,Colombia,cundinamarca,carcafe ltda,2016,7.75,7.58,10,10,10,7.5,7.75,7.75,7.58,7.58,83.5
Arabica,Taiwan,,宸嶧國際,2017,7.58,10,10,10,10,7,7,7.17,7.17,7.58,83.5
Arabica,Costa Rica,tarrazu,"ceca,s.a.",2015,7.92,7.83,10,10,10,7.67,7.5,7.67,7.5,7.42,83.5
Arabica,Colombia,pitalito,carcafe ltda,2016,7.75,7.58,10,10,10,7.75,7.75,7.5,7.58,7.58,83.5
Arabica,Guatemala,oriente,"unex guatemala, s.a.",2016,7.67,7.58,10,10,10,7.58,7.58,7.83,7.5,7.75,83.5
Arabica,Colombia,huila,racafe & cia s.c.a,2015,7.58,7.75,10,10,10,7.67,7.75,7.58,7.58,7.58,83.5
Arabica,Tanzania,nkure- meru,tawoca,2015,7.75,7.58,10,10,10,7.58,7.67,7.67,7.58,7.67,83.5
Arabica,Indonesia,bener meriah,pt. olam indonesia,2015,7.25,7.67,10,10,10,7.58,7.83,7.92,7.58,7.67,83.5
Arabica,Ethiopia,oromia,debesa agro industry plc,2014,7.67,7.58,10,10,10,7.67,7.75,7.58,7.5,7.75,83.5
Arabica,Colombia,huila,federacion nacional de cafeteros,2014,7.67,7.67,10,10,10,7.67,7.58,7.83,7.67,7.42,83.5
Arabica,Colombia,huila,exportadora de cafe condor s.a,2014,8,7.58,10,10,10,7.58,7.92,7.58,7.25,7.58,83.5
Arabica,Guatemala,atitlan,the coffee source inc.,2013,7.58,7.75,10,10,10,7.67,7.42,7.83,7.5,7.75,83.5
Arabica,Colombia,cundinamarca,ecom cca sa,2014,7.75,7.67,10,10,10,7.83,7.83,7.5,7.33,7.58,83.5
Arabica,Honduras,comayagua,cigrah,2015,7.67,7.83,10,10,10,7.67,7.67,7.5,7.67,7.5,83.5
Arabica,Colombia,huila,exportadora de cafe condor s.a,2013,7.58,7.67,10,10,10,7.67,7.75,7.67,7.42,7.75,83.5
Arabica,Colombia,huila,exportadora de cafe condor s.a,2013,7.58,7.58,10,10,10,7.75,7.58,7.75,7.58,7.67,83.5
Arabica,Mexico,xalapa,finca los barreales,2012,7.83,8.42,10,10,10,7.42,7.5,7.5,7.25,7.58,83.5
Arabica,Mexico,chilón,estrategias constructivas corzu s.a. de c.v.,2012,7.67,7.58,10,10,10,7.5,7.58,7.75,7.67,7.75,83.5
Arabica,Mexico,totutla,,2012,7.75,7.83,10,10,10,7.5,7.33,7.75,7.67,7.67,83.5
Arabica,Guatemala,atitlan,kanematsu corporation / rnp santo tomas pachuj,2012,7.83,7.5,10,10,10,7.5,7.67,8,7.5,7.5,83.5
Arabica,Colombia,huila,c.i.racafe & cia s.c.a,2012,7.67,7.67,10,10,10,7.67,7.67,7.67,7.58,7.58,83.5
Arabica,Guatemala,oriente,coffee resources inc.,2012,7.5,7.58,10,10,10,7.67,8,7.5,7.75,7.5,83.5
Arabica,Indonesia,bondowoso,,2010,7.83,7.58,10,10,10,7.58,7.75,7.58,7.58,7.58,83.5
Arabica,Colombia,huila,carcafe ltda,2017,7.5,7.67,10,10,10,7.83,7.75,7.5,7.58,7.58,83.42
Arabica,Guatemala,san marcos,"unex guatemala, s.a.",2017,7.67,7.67,10,10,10,7.67,7.58,7.58,7.5,7.75,83.42
Arabica,Colombia,huila,carcafe ltda,2016,7.67,7.67,10,10,10,7.58,7.67,7.67,7.5,7.67,83.42
Arabica,Costa Rica,tarrazu,"ceca,s.a.",2016,7.58,7.83,10,10,10,7.67,7.5,7.92,7.42,7.5,83.42
Arabica,Taiwan,,宸嶧國際,2015,7.67,10,10,10,10,7,7,7.08,7,7.67,83.42
Arabica,Uganda,eastern,bugisu cooperative union,2015,7.58,7.75,10,10,10,7.58,7.67,7.75,7.33,7.75,83.42
Arabica,Thailand,thailand,matsuzawa coffee,2015,7.5,7.67,10,10,10,7.67,7.75,7.5,7.75,7.58,83.42
Arabica,El Salvador,apaneca,consejo salvadoreño del café,2016,7.58,7.58,10,10,10,7.67,7.75,7.58,7.75,7.5,83.42
Arabica,Colombia,huila,carcafe ltda,2015,7.58,7.67,10,10,10,7.67,7.58,7.67,7.58,7.67,83.42
Arabica,Brazil,vale da grama,bourbon specialty coffees,2014,7.33,7.75,10,10,10,7.83,7.42,7.5,7.75,7.83,83.42
Arabica,Tanzania,karatu northern,ngila estate ltd,2014,7.75,7.58,10,10,10,7.58,7.58,7.67,7.58,7.67,83.42
Arabica,Colombia,huila,ecom cca sa,2015,7.58,7.58,10,10,9.33,8.58,7.75,7.75,7.25,7.58,83.42
Arabica,Guatemala,oriente,"unex guatemala, s.a.",2013,7.75,7.5,10,10,10,7.67,7.5,7.83,7.33,7.83,83.42
Arabica,Guatemala,antigua,"siembras vision, s.a.",2014,7.67,7.58,10,10,10,7.5,7.58,7.83,7.5,7.75,83.42
Arabica,Guatemala,oriente,"unex guatemala, s.a.",2013,7.67,7.58,10,10,10,7.75,7.75,7.42,7.75,7.5,83.42
Arabica,United States (Hawaii),kona,kona pacific farmers cooperative,2012,7.42,7.67,10,10,10,7.67,7.67,7.58,7.67,7.75,83.42
Arabica,Colombia,cundinamarca,exportadora de cafe condor s.a,2012,7.5,7.67,10,10,10,7.75,7.67,7.5,7.58,7.75,83.42
Arabica,United States (Hawaii),kona,,2010,7.5,7.5,10,10,10,7.58,7.83,7.67,7.42,7.92,83.42
Arabica,Colombia,huila,exportadora de cafe condor s.a,2016,7.75,7.58,10,10,10,7.58,7.58,7.58,7.75,7.5,83.33
Arabica,Colombia,guayata,racafe & cia s.c.a,2016,7.67,7.67,10,10,10,7.75,7.67,7.42,7.58,7.58,83.33
Arabica,Colombia,huila,racafe & cia s.c.a,2016,7.83,7.67,10,10,10,7.58,7.5,7.58,7.58,7.58,83.33
Arabica,Brazil,south of minas,ipanema coffees,2016,7.5,7.58,10,10,10,7.92,7.58,7.58,7.33,7.83,83.33
Arabica,Mexico,chiapas,exportadora café california,2014,7.75,7.58,10,10,10,7.58,7.5,7.67,7.5,7.75,83.33
Arabica,Colombia,santander,exportadora de cafe condor s.a,2015,7.67,7.42,10,10,10,7.42,7.83,7.83,7.42,7.75,83.33
Arabica,Tanzania,arusha,mondul coffee estate,2014,7.75,7.58,10,10,10,7.58,7.58,7.58,7.67,7.58,83.33
Arabica,Mexico,veracruz,"café andrade, s.a. de c.v.",2013,7.67,7.67,10,10,10,7.58,7.5,7.67,7.58,7.67,83.33
Arabica,Costa Rica,san ramon,the coffee source inc.,2014,7.67,7.58,10,10,10,7.67,7.67,7.67,7.42,7.67,83.33
Arabica,United States (Hawaii),kona,kona pacific farmers cooperative,2014,7.83,7.83,9.33,10,9.33,8,7.92,7.67,7.83,7.58,83.33
Arabica,Costa Rica,central valley,coricafe s.a.,2013,7.5,8,10,10,10,7.17,7.83,7.5,7.67,7.67,83.33
Arabica,Peru,,sustainable harvest,2013,7.83,7.5,10,10,9.33,7.58,7.92,7.83,7.58,7.75,83.33
Arabica,Haiti,"thiotte, haiti",itiah coffee llc.,2012,7.58,7.83,10,10,10,7.42,7.83,7.5,7.67,7.5,83.33
Arabica,Colombia,pitalito,carcafe ltda,2013,7.67,7.5,10,10,10,7.42,7.92,7.67,7.5,7.67,83.33
Arabica,Guatemala,oriente,"unex guatemala, s.a.",2013,7.83,7.67,10,10,10,7.67,7.67,7.67,7.17,7.67,83.33
Arabica,United States (Hawaii),kona,kona pacific farmers cooperative,2012,7.92,7.83,10,10,9.33,7.67,7.67,7.83,7.58,7.5,83.33
Arabica,Burundi,kayanza,the specialty coffee appraisers institute of asia,2012,7.75,7.83,10,10,10,7.75,7.5,7.5,7.33,7.67,83.33
Arabica,Colombia,huila,exportadora de cafe condor s.a,2012,7.5,7.67,10,10,10,7.58,7.67,7.58,7.67,7.67,83.33
Arabica,Mexico,sierra madre occidental,cafe de don balbino s.c. de r.l. de c.v.,2017,7.67,7.67,10,10,10,7.5,7.33,7.83,7.42,7.83,83.25
Arabica,Costa Rica,tarrazu,bold coast coffee,2016,7.5,7.58,10,10,10,7.67,7.67,7.5,7.83,7.5,83.25
Arabica,Costa Rica,tarrazu,panamerican coffee trading,2015,7.83,7.67,10,10,10,7.67,7.5,7.67,7.42,7.5,83.25
Arabica,Guatemala,nuevo oriente,mercon guatemala s.a.,2016,7.5,7.67,10,10,10,7.58,7.67,7.83,7.42,7.58,83.25
Arabica,Uganda,"sipi, mt elgon",kawacom uganda ltd,2015,7.5,7.67,10,10,10,7.67,7.67,7.42,7.67,7.67,83.25
Arabica,Brazil,campos altos - cerrado,bourbon specialty coffees,2016,7.58,8,10,10,10,7.42,7.67,7.5,7.42,7.67,83.25
Arabica,Colombia,huila,carcafe ltda,2016,7.58,7.58,10,10,10,7.83,7.75,7.17,7.67,7.67,83.25
Arabica,Mexico,cuarenteño,productos y servicios chilindron s.a. de c.v.,2015,7.83,7.42,10,10,10,7.58,7.58,7.58,7.5,7.75,83.25
Arabica,Taiwan,natou county,taiwan coffee laboratory,2015,7.67,7.58,10,10,10,7.83,7.67,7.5,7.5,7.5,83.25
Arabica,Taiwan,南投國姓,宸嶧國際,2014,7.92,7.33,10,10,10,7.33,7.5,7.58,7.75,7.83,83.25
Arabica,Colombia,eje cafetero,ecom cca sa,2014,7.58,7.67,10,10,10,7.75,7.58,7.58,7.5,7.58,83.25
Arabica,Guatemala,antigua,"siembras vision, s.a.",2014,7.5,7.67,10,10,10,7.5,7.67,7.67,7.58,7.67,83.25
Arabica,Colombia,huila,exportadora de cafe condor s.a,2013,7.83,7.58,10,10,10,7.67,7.67,7.33,7.67,7.5,83.25
Arabica,Mexico,chiapas,"finca triunfo verde, s.c.",2013,7.58,7.75,10,10,10,7.58,7.58,7.5,7.5,7.75,83.25
Arabica,United States (Hawaii),kona,kona pacific farmers cooperative,2012,7.58,7.67,9.33,10,9.33,7.67,8.08,8,7.83,7.75,83.25
Arabica,Mexico,veracruz,finca teocelo,2012,7.75,7.67,10,10,10,7.58,7.5,7.58,7.58,7.58,83.25
Arabica,Mexico,fortín de las flores,,2012,7.75,7.58,10,10,10,7.5,7.33,7.92,7.42,7.75,83.25
Arabica,Guatemala,oriente,"unex guatemala, s.a.",2012,7.83,7.42,10,10,10,8.08,7.42,7.83,7.08,7.58,83.25
Arabica,Brazil,grama valley,nucoffee,2012,7.75,7.58,10,10,10,7.58,7.58,7.58,7.5,7.67,83.25
Arabica,Colombia,huila,exportadora de cafe condor s.a,2012,7.67,7.58,10,10,10,7.58,7.83,7.42,7.58,7.58,83.25
Arabica,Colombia,la plata,c.i.racafe & cia s.c.a,2012,7.67,7.67,10,10,10,7.67,7.58,7.5,7.5,7.67,83.25
Arabica,Colombia,huila,,2011,7.92,7.5,10,10,10,7.58,7.83,7.42,7.25,7.75,83.25
Arabica,Colombia,cauca,,2010,8,7.5,10,10,10,7.5,7.67,7.25,7.67,7.67,83.25
Arabica,Colombia,cundinamarca,,2010,7.92,7.58,10,10,10,7.67,7.42,7.42,7.5,7.75,83.25
Arabica,Brazil,south of minas,ipanema coffees,2017,7.67,7.75,10,10,10,7.58,7.67,7.58,7.5,7.42,83.17
Arabica,Guatemala,oriente,"unex guatemala, s.a.",2017,7.58,7.67,10,10,10,7.58,7.75,7.67,7.33,7.58,83.17
Arabica,Tanzania,moshi,volcafe/taylorwinch tanzania ltd,2016,7.67,7.58,10,10,10,7.58,7.67,7.67,7.42,7.58,83.17
Arabica,Peru,,prodlesur sa,2017,7.92,7.5,10,10,10,7.5,7.67,7.58,7.5,7.5,83.17
Arabica,Vietnam,dala,"sunvirtue co., ltd.",2017,7.58,7.58,10,10,10,8.58,7.58,7.33,7.08,7.42,83.17
